月份,股票代號,股票名稱,最高價,最低價,加權(A/B)平均價,成交筆數,成交金額(A),成交股數(B),週轉率(%)
"11405","063458","立隆電元大46購03","0.63","0.46","0.55","10","53230","96000","1.92"
"11405","063459","長榮航元大46購23","0.94","0.73","0.84","12","304050","360000","14.40"
"11405","063461","凱基金元大49購01","0.59","0.46","0.50","7","50900","100000","2.00"
"11405","063462","嘉澤元大49購04","0.09","0.09","0.09","1","22500","250000","9.61"
"11405","063466","世芯元大46購29","0.03","0.03","0.03","1","3000","100000","2.00"
"11405","063467","鈞興元大46購01","0.11","0.10","0.10","2","210","2000","0.04"
"11405","063469","精銳元大46購01","0.27","0.07","0.13","11","70540","506000","25.30"
"11405","063471","保瑞元大46購15","0.52","0.22","0.40","30","371250","908000","36.32"
"11405","063472","保瑞元大46購16","0.71","0.31","0.40","54","1556220","3846000","137.35"
"11405","063473","達發元大49購03","0.30","0.23","0.29","9","147960","503000","18.62"
"11405","063474","緯穎元大46購27","0.01","0.01","0.01","1","400","40000","0.80"
"11405","063475","臺股指元大46購39","0.01","0.01","0.01","1","10","1000","0.12"
"11405","063477","臺股指元大46購41","0.31","0.15","0.19","8","14600","74000","1.48"
"11405","063479","臺股指元大47購20","0.04","0.04","0.04","1","800","20000","0.40"
"11405","063482","台塑富邦4A購01","0.52","0.36","0.47","36","816390","1732000","24.74"
"11405","063483","仁寶富邦47購02","0.17","0.07","0.12","87","390610","3217000","45.95"
"11405","063484","國巨富邦47購01","0.17","0.08","0.12","40","322170","2502000","35.74"
"11405","063485","國巨富邦48購01","0.14","0.09","0.11","24","128640","1076000","15.37"
"11405","063486","中工富邦48購01","0.58","0.35","0.47","155","3059230","6397000","91.38"
"11405","063487","陽明富邦47購04","0.60","0.43","0.48","10","53790","112000","1.60"
"11405","063488","奇鋐富邦47購05","0.40","0.13","0.25","63","266010","1027000","14.67"
"11405","063489","奇鋐富邦48購02","0.52","0.33","0.38","45","404130","1037000","14.81"
"11405","06348P","台灣50元富46售22","11.10","8.30","9.15","47","1290950","141000","11.75"
"11405","063490","TPK富邦48購01","0.09","0.09","0.09","1","720","8000","0.11"
"11405","063491","祥碩富邦47購02","0.51","0.27","0.39","92","1284180","3260000","46.57"
"11405","063492","矽力富邦48購01","0.41","0.12","0.27","32","378310","1382000","19.74"
"11405","063493","保瑞富邦47購01","0.63","0.33","0.41","225","2272620","5525000","78.92"
"11405","063494","穎崴富邦47購01","0.48","0.15","0.31","172","2695470","8668000","123.82"
"11405","063495","晶心科富邦48購01","0.12","0.06","0.09","9","296040","3054000","43.62"
"11405","063496","金像電兆豐4C購01","1.51","0.58","1.09","292","7065750","6438000","128.76"
"11405","063497","緯創兆豐4C購01","1.18","0.77","0.92","325","11842970","12755000","255.10"
"11405","063498","世芯兆豐47購02","0.10","0.07","0.09","2","8700","90000","1.80"
"11405","063499","啟碁兆豐48購01","0.38","0.28","0.34","16","144890","426000","8.52"
"11405","063500","緯穎兆豐4C購01","0.93","0.49","0.69","143","5055750","7283000","145.66"
"11405","063501","洋基兆豐48購02","0.73","0.56","0.64","32","400000","616000","12.32"
"11405","063503","台積電統一5C購01","0.44","0.37","0.40","31","391410","977000","19.54"
"11405","063504","道瓊反中信47購01","0.60","0.36","0.55","12","213230","382000","7.64"
"11405","063505","國巨中信46購01","0.63","0.41","0.49","11","87850","178000","1.78"
"11405","063506","國巨中信48購01","0.68","0.64","0.65","3","58710","90000","0.90"
"11405","063507","國巨中信4A購01","0.38","0.27","0.33","16","142400","427000","4.27"
"11405","063508","華邦電中信46購05","0.38","0.06","0.19","122","1259100","6381000","127.61"
"11405","063509","南亞科中信46購03","3.67","0.40","1.25","722","9854720","7872000","157.44"
"11405","06350P","中磊元富46售04","1.14","1.11","1.12","2","20220","18000","0.85"
"11405","063510","國泰金中信46購01","0.01","0.01","0.01","2","4590","459000","9.18"
"11405","063511","世芯中信47購02","0.05","0.03","0.03","9","2300","72000","1.44"
"11405","063513","FBNQ2X國票46購01","0.85","0.52","0.64","17","112730","174000","17.40"
"11405","063514","FBNQ2X國票47購01","0.66","0.51","0.57","5","21130","37000","1.85"
"11405","063515","FBNQ2X國票48購01","0.70","0.09","0.46","18","322270","698000","69.80"
"11405","063516","FBNQ2X國票49購01","0.39","0.27","0.32","17","147500","452000","30.13"
"11405","063517","美費半國票46購02","0.24","0.11","0.13","2","680","5000","0.50"
